chapter,image,id
Appsilon,https://yt3.googleusercontent.com/NHW_2kAN-E5iqOuSREcjNJlmgmHNIZrdz8h8M40-xZoiIrNNXG8n0ElOy2G-A46Q1469CupqyGc=s176-c-k-c0x00ffffff-no-rj,UC6LqpR5qBfNlQp5mVIVsthA
Bearded Tesla Guy,https://yt3.googleusercontent.com/ytc/AOPolaTz8XfzsWXfWIMS3DgdrQR5kOKA23eBsxf6x-54tI0=s176-c-k-c0x00ffffff-no-rj,UCBsANJdoKs-BVz-kLT2BeVQ
Lander Analytics,https://yt3.googleusercontent.com/oUNK7JijbqSk20X7fTUVBQmEoFOHbeK3_i2Y_Q85EmAoTohHGobLg08WIRgpR0CzCt9DPYPezA=s176-c-k-c0x00ffffff-no-rj,UC2-hKemnrmVCH_29duyJ26A
Tesla Adventure,https://yt3.googleusercontent.com/5mfgUfMd38kmKhA4SXPVn2AVkdTmbqLrCduMYFM-0D1Yiaw2mT7m3CgRoC8NpjjGw06lKhGY2g=s176-c-k-c0x00ffffff-no-rj,UCdvtKbMUb8FOLCiskhjrgFA
R Consortium,https://yt3.googleusercontent.com/ytc/AOPolaSmBVIOJkVe-L-D9iUwgsk97VaELjSp4ZoyM4Uw=s176-c-k-c0x00ffffff-no-rj,UC_R5smHVXRYGhZYDJsnXTwg
Alex Ziskind ,https://yt3.googleusercontent.com/L7DYzBbrCxNLo-Wkv1TeijBOZh_CCAL8CvUM2WGzmtbdAQHMh01i3WWT7Pd6Gvr4wj9zI3W33Q=s176-c-k-c0x00ffffff-no-rj,UCajiMK_CY9icRhLepS8_3ug
Posit PBC,https://yt3.googleusercontent.com/tdMVAbii6ge_T_QDGQ5uZfm9cHPWo89-vUzMoO-5_NizdY07Zv0K47JyH-CXNJLW7IwMf3iELQ=s176-c-k-c0x00ffffff-no-rj,UC3xfbCMLCw1Hh4dWop3XtHg
Eddie Fleischman,https://yt3.googleusercontent.com/dVdiDSJ3WxIoYjcgFoJnU-qKG6MjHaxueMWcsRFKRUB7aNhdA0QU40KKwckSIHoKGqPOyNUQ=s176-c-k-c0x00ffffff-no-rj,UCWUNm9PCC-E0UzWG57XObIQ
Gjeebs,https://yt3.googleusercontent.com/pi12OjJYXcovqzhLdUl3DWERwJn6VlR0BTT6WGxyPKPAJa6jPaYFsuKOIQcsLChCYdb8nZt1iQ=s176-c-k-c0x00ffffff-no-rj,UCC1Mi4fVXKETdFGDlW7rC3w
Visual Studio Code,https://yt3.googleusercontent.com/_q52i8bUAEvcb7JR4e-eNTv23y2A_wg5sCz0NC0GrGtcw1CRMWJSOPVHUDh_bngD0q4gMvVeoA=s176-c-k-c0x00ffffff-no-rj,UCs5Y5_7XK8HLDX0SLNwkd3w